                 GoT character | # | Like 'Adrack Humble'
                    'Polliver' | 6 | 28.6% (10)
                   'Pyat Pree' | 7 | 28.6% (10)
                 'The Tickler' | 8 | 28.6% (10)

                 GoT character | # | Like 'Hizdahr zo Loraq'
              'Razdal mo Eraz' | 1 | 50.0% (8)
               'Oznak zo Pahl' | 2 | 37.5% (10)
                  'Areo Hotah' | 3 | 31.2% (11)
               'Jorah Mormont' | 4 | 31.2% (11)
                 'Syrio Forel' | 5 | 31.2% (11)
              'Alliser Thorne' | 6 | 25.0% (12)
                  'Amory Loch' | 7 | 25.0% (12)
                       'Barra' | 8 | 25.0% (12)

                 GoT character | # | Like 'Hodor'
                       'Othor' | 1 | 40.0% (3)
                        'Akho' | 2 | 20.0% (4)
                       'Biter' | 3 | 20.0% (4)
                       'Borba' | 4 | 20.0% (4)
                      'Cooper' | 5 | 33.3% (4)
                       'Dongo' | 6 | 20.0% (4)
                      'Drogon' | 7 | 33.3% (4)
                       'Gordy' | 8 | 20.0% (4)
